Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           0  ┃      1.6139  │     22.73 %  ┃   1.000e-01  │   01:05 min  ┠┈█████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3440 | current_val_loss: 1.6986 | running_val_loss: 1.8333 | best_val_loss: 1.4893
┃           0  ┃      1.6361  │     19.84 %  ┃   1.000e-01  │   01:08 min  ┠┈█████████████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4298 | current_val_loss: 2.6913 | running_val_loss: 1.9191 | best_val_loss: 1.4893
┃           0  ┃      1.6606  │     20.55 %  ┃   1.000e-01  │   01:11 min  ┠┈██████████████▒┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4041 | current_val_loss: 1.6619 | running_val_loss: 1.8934 | best_val_loss: 1.4893
┃           0  ┃      1.6358  │     21.33 %  ┃   1.000e-01  │   01:14 min  ┠┈███████████████░┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3839 | current_val_loss: 1.6917 | running_val_loss: 1.8732 | best_val_loss: 1.4893
┃           0  ┃      1.6403  │     20.23 %  ┃   1.000e-01  │   01:17 min  ┠┈████████████████┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3620 | current_val_loss: 1.6548 | running_val_loss: 1.8514 | best_val_loss: 1.4893
┃           0  ┃      1.6629  │     21.25 %  ┃   1.000e-01  │   01:20 min  ┠┈████████████████▒┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3399 | current_val_loss: 1.6296 | running_val_loss: 1.8292 | best_val_loss: 1.4893
┃           0  ┃      1.6443  │     20.78 %  ┃   1.000e-01  │   01:23 min  ┠┈█████████████████░┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3093 | current_val_loss: 1.5239 | running_val_loss: 1.7987 | best_val_loss: 1.4893
┃           0  ┃      1.6312  │     19.06 %  ┃   1.000e-01  │   01:26 min  ┠┈██████████████████┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0002 | Δ: -0.2888 | current_val_loss: 1.5928 | running_val_loss: 1.7781 | best_val_loss: 1.4893
┃           0  ┃      1.6455  │     19.92 %  ┃   1.000e-01  │   01:30 min  ┠┈██████████████████▓┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3679 | current_val_loss: 2.5697 | running_val_loss: 1.8572 | best_val_loss: 1.4893
┃           0  ┃      1.6547  │     17.58 %  ┃   1.000e-01  │   01:33 min  ┠┈███████████████████▒┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4224 | current_val_loss: 2.4016 | running_val_loss: 1.9117 | best_val_loss: 1.4893
┃           0  ┃      1.6575  │     19.38 %  ┃   1.000e-01  │   01:36 min  ┠┈████████████████████░┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3937 | current_val_loss: 1.6250 | running_val_loss: 1.8830 | best_val_loss: 1.4893
┃           0  ┃      1.6668  │     18.28 %  ┃   1.000e-01  │   01:39 min  ┠┈█████████████████████┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3699 | current_val_loss: 1.6456 | running_val_loss: 1.8593 | best_val_loss: 1.4893
┃           0  ┃      1.7095  │     18.59 %  ┃   1.000e-01  │   01:42 min  ┠┈█████████████████████▓┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3541 | current_val_loss: 1.7011 | running_val_loss: 1.8434 | best_val_loss: 1.4893
